,publish_time,code,title,content,pdf_url
0,12-05 22:50,600234,ST山水：股东及其一致行动人再次举牌  股价或逆市上涨,"[机构解读]　　【看平】1、截至2016年12月5日收市，深圳派德高管理咨询有限公司及其一致行动人通过大宗交易及二级市场交易，合计买受本公司20,244,560股股份，占*ST山水总股本的9.999986%。2、信息披露义务人未来12个月内将继续增加*ST山水不少于100万股股份。3、前期上交所刚下发处分不久，公司多位股东故意隐瞒一致行动关系多次违规交易。公司股价近期小幅攀升，逆势上涨，丝毫不受影响。短期来看，ST个股未来仍存退市风险，建议理性投资。仅供参考，不作为投资依据。（广发证券唐人杰）",http://ggjd.cnstock.com/ggjd/download/2000645695.PDF
1,12-05 22:39,000503,海虹控股：转让三家子公司 股价上升趋势被打破,"[机构解读]　　【看空】1、公司控股子公司中公网医疗及中公网信息拟转让所持有的北京药通95%、5%的股权。公司及控股子公司海虹资管转让所持有的重庆卫虹90%和10%的股权。2、股权转让完成后，公司将不再持有北京药通及重庆卫虹股权，两家公司将不再纳入报表合并范围。该笔交易预计实现利润总额约7,000万元人民币。3、公司三季报显示，截止三季度末，公司今年利润为-8514万元。此次交易有望缩减公司今年亏损。从股价走势看，经历了年初至今的翻倍行情，周一股价跌停，打破上升趋势，近期调整概率较大。仅供参考，不作为投资依据。（广发证券唐人杰）",http://ggjd.cnstock.com/ggjd/download/2000644411.PDF
2,12-05 22:27,600877,中国嘉陵：出售重庆地区土地 当期业绩有望扭亏,"[机构解读]　　【看平】1、公司拟处置重庆市北碚区双柏树华光村土地及地上房屋建筑物，由重庆市辖区内土地储备中心收购储备。2、本次资产出售可以盘活公司存量资产，优化资产结构，有利于改善公司财务状况，增强持续经营能力，不存在损害公司股东利益的情况，公司预计获得收益不低于20,610万元。3、公司三季报显示，截至三季度末，公司净利润为-12,324万元。此次资产出售后，全年利润有望扭亏。对当期收益有影响，但对公司经营影响较小，预计对股价影响不大。仅供参考，不作为投资依据。（广发证券唐人杰）",http://ggjd.cnstock.com/ggjd/download/2000645263.PDF
3,12-05 21:56,000639,西王食品：设立子公司影响正面 股价继续向上概率大,[机构解读]　　【看多】1、拟使用自有资金在香港特别行政区投资设立全资子公司“奥威特运动营养科技有限公司”。2、本次对外投资，有利于KERR公司MuscleTech等产品在亚洲特别是中国市场的品类的丰富和市场推广。3、上个交易日公司股价走强，预计继续向上的概率大。仅供参考。（山东神光金融研究所）,http://ggjd.cnstock.com/ggjd/download/2000645374.PDF
4,12-05 21:52,000635,英力特：控股股东拟转让控股权 股价未来存想象空间,"[机构解读]　　【看平】1、公司控股股东英力特集团拟转让其持有的上市公司全部股份，共计155,322,687股，占公司总股本的51.25%。2、受让上市公司股份的受让方须同时受让英力特煤业100%股权及相关债权。本次上市公司股份转让价格为19.52元/股。3、若公司控制权转让后，不排除新控股股东后续有优质资产注入上市公司，或是对上市公司进行重大资产重组的可能。中期看存在一定想象空间，短期对股价影响不大。仅供参考，不作为投资依据。（广发证券唐人杰）　　【看多】1、2016年12月5日消息，国务院国有资产监督管理委员会同意英力特集团转让持有的英力特化工全部股份。2、本次股份转让价格不低于19.52元/股。上个交易日收盘价20.86元/股。3、上个交易日公司股价再度走强，本次公告属于利好消息，有助于股价继续向上。仅供参考。（山东神光金融研究所）",http://ggjd.cnstock.com/ggjd/download/2000644885.PDF
5,12-05 21:51,002146,荣盛发展：与西安临潼区签订投资建设框架协议 影响有限,[机构解读]　　【看平】1、拟通过战略合作共同推进秦文化旅游区旅游休闲度假综合服务体项目。2、通过上述协议的签署，公司将与西安市临潼区秦文化旅游区管理委员会合作，共同致力于秦文化重要旅游服务配套设施的建设与发展。3、近两个交易日股价持续弱势，本次协议签订影响有限，股价小幅波动的概率大。仅供参考。（山东神光金融研究所）,http://ggjd.cnstock.com/ggjd/download/2000645272.PDF
6,12-05 21:48,600787,中储股份：拆迁及获取补偿有助股价向上,[机构解读]　　【看多】1、郑州市管城回族区房屋征收与补偿办公室在2016年至2017年间分期对公司所属郑州物流中心支付拆迁补偿款合计63669万元。2、若本次拆迁及补偿依约顺利完成，将增加公司相应年度营业外收入及净利润。3、近5个交易日公司股价总体表现还不错，本次获得补偿有助股价向上。仅供参考。（山东神光金融研究所）,http://ggjd.cnstock.com/ggjd/download/2000645252.PDF
7,12-05 21:43,002533,金杯电工：1.7亿元参与设立九信人寿 有助股价反弹,"[机构解读]　　【看多】1、九信人寿注册资本为10亿元人民币，公司以自有资金出资17,000万元，预计占九信人寿总股本的17%。2、有利于优化公司经营结构、拓宽和丰富业务领域，推进公司在金融领域的战略布局。3、近一周股价持续弱势，本次参与设立人寿保险，有助于股价反弹。仅供参考。（山东神光金融研究所）",http://ggjd.cnstock.com/ggjd/download/2000645338.PDF
8,12-05 21:40,600189,激励森工：收购两公司涉足矿泉水及园林行业 复牌股价有望上涨,"[机构解读]　　【看多】1、公司拟以发行股份的方式购买新泉阳泉75.45%股权、园区园林100%股权，同时，向控股股东在内的3名特定投资者非公开发行股份募集集配套资金82,000.00万元。募集资金投向（1）长白山天泉20万吨含气矿泉水生产项目；（2）靖宇海源40万吨矿泉水建设项目；（3）泉阳泉年产40万吨矿泉水扩建项目；（4）销售渠道建设项目；（5）支付部分中介机构费用。2、本次交易完成后，上市公司主营业务进一步多元化。两个标的公司可利用上市公司品牌效应和融资平台，为自身业务后续发展提供更为强劲的推动力，进一步提升企业的综合竞争力和盈利能力，进而为上市公司的股东带来回报。3、收购两个公司股权涉及资金16亿，总股本将从310,500,000股增至570,610,794股。公司停牌前股价总市值37亿。收购的体量相比公司当前市值较大，且停牌期间市场中枢上移。复牌后股价有望大涨。仅供参考，不作为投资依据。（广发证券唐人杰）　　【看多】1、本次交易中，吉林森工拟以发行股份的方式购买森工集团、睿德嘉信、泉阳林业局合计持有的新泉阳泉75.45%股权。2、以发行股份的方式购买赵志华、上海集虹、陈爱莉、赵永春合计持有的园区园林100%股权。3、公司继续停牌。在该事件影响下，如果复牌，公司股价有望继续向上。仅供参考。（山东神光金融研究所）",http://ggjd.cnstock.com/ggjd/download/2000644994.PDF
9,12-05 21:39,600990,四创电子：购买资产获证监会通过,[机构解读]　　【看平】1、公司本次发行股份购买资产并募集配套资金暨关联交易事项获得无条件通过。2、公司尚未收到中国证监会的正式核准文件，待收到中国证监会相关核准文件后将另行公告。3、自2016年12月6日开市起复牌。复牌后股价小幅波动的概率大。仅供参考。（山东神光金融研究所）,http://ggjd.cnstock.com/ggjd/download/2000645299.PDF
10,12-05 21:35,600682,南京新百：购买资产获证监会通过 先防范补跌风险,[机构解读]　　【看空】1、公司发行股份及支付现金购买资产并募集配套资金事项获得有条件通过。2、公司尚未收到中国证监会的正式核准文件，待收到中国证监会相关核准文件后将另行公告。3、2016年12月6日（星期二）开市起复牌。先防范补跌风险。仅供参考。（山东神光金融研究所）,http://ggjd.cnstock.com/ggjd/download/2000645212.PDF
11,12-05 21:29,000656,金科股份：23.5亿元购三资产 有助于股价反弹,[机构解读]　　【看多】1、本次对三家公司的收购为整体收购，收购完成后，金科股份全资子公司山东百俊分别持有济南海睿、青岛海昌和泰安海大100%的股权。2、本次交易金额合计为23.5亿元，占公司最近一期经审计净资产的18.29%。3、上个交易日股价跌幅较大，本次以自有资金购买资产，有助于股价反弹。仅供参考。（山东神光金融研究所）,http://ggjd.cnstock.com/ggjd/download/2000645370.PDF
12,12-05 21:20,300120,经纬电材：收购新辉开100%股权 股价上涨的概率大,[机构解读]　　【看多】1、本次交易完成后，上市公司将持有新辉开100%股权。2、本次交易后，公司的实际控制人及控股股东均没有发生变更。3、公司继续停牌。预计复牌后，股价上涨的概率大。仅供参考。（山东神光金融研究所）,http://ggjd.cnstock.com/ggjd/download/2000645408.PDF
13,12-05 21:15,600482,中国动力：拟实施股票期权激励计划  股价小幅低于行权价存潜在机会,"[机构解读]　　【看多】1、公司拟实施股票期权激励计划。本计划拟授予激励对象的股票期权为1,739万份，对应的标的股票数量为1,739万股，占当前公司总股本173,919.09万股的1.00%。行权价格为每股32.40元。2、本计划在2018-2020年的三个会计年度中，分年度对公司业绩指标进行考核。3、股票期权激励计划的实施有望推动公司未来三年实现持续性增长，释放业绩。行权价格小幅高于现价。对股价利好，但需注意业绩的释放是个中长期过程，股价短期的波动有一定随机性或是受大市影响。仅供参考，不作为投资依据。（广发证券唐人杰）",http://ggjd.cnstock.com/ggjd/download/2000645645.PDF
14,12-05 21:14,600368,五洲交通：1.6亿元购金桥农产品30%股权 股价小幅波动概率大,[机构解读]　　【看平】1、南宁金桥农产品有限公司30%股权公开挂牌拍卖，挂牌底价为南宁市国资委核准价16012万元，金额以最终摘牌价为准。2、本次股权竞拍顺应了国家对“三农”发展的新趋势和政府对“菜篮子”工程建设的新要求。3、近一周股价出现下跌。本次收购对股价刺激有限，股价继续小幅波动的概率大。仅供参考。（山东神光金融研究所）,http://ggjd.cnstock.com/ggjd/download/2000645427.PDF
15,12-05 21:04,600189,吉林森工：收购两公司股权 有助股价走强,"[机构解读]　　【看多】1、公司拟以发行股份的方式购买新泉阳泉75.45%股权、园区园林100%股权，同时，向控股股东在内的3名特定投资者非公开发行股份募集集配套资金82,000.00万元。募集资金投向（1）长白山天泉20万吨含气矿泉水生产项目；（2）靖宇海源40万吨矿泉水建设项目；（3）泉阳泉年产40万吨矿泉水扩建项目；（4）销售渠道建设项目；（5）支付部分中介机构费用。2、本次交易完成后，上市公司主营业务进一步多元化。两个标的公司可利用上市公司品牌效应和融资平台，为自身业务后续发展提供更为强劲的推动力，进一步提升企业的综合竞争力和盈利能力，进而为上市公司的股东带来回报。3、收购两个公司股权涉及资金16亿，总股本将从310,500,000股增至570,610,794股。公司停牌前股价总市值37亿。收购的体量相比公司当前市值较大，且停牌期间市场中枢上移。复牌后股价有望大涨。仅供参考，不作为投资依据。（广发证券唐人杰）　　【看多】1、本次交易中，吉林森工拟以发行股份的方式购买森工集团、睿德嘉信、泉阳林业局合计持有的新泉阳泉75.45%股权。2、以发行股份的方式购买赵志华、上海集虹、陈爱莉、赵永春合计持有的园区园林100%股权。3、公司继续停牌。在该事件影响下，如果复牌，公司股价有望继续向上。仅供参考。（山东神光金融研究所）",http://ggjd.cnstock.com/ggjd/download/2000644994.PDF
16,12-05 21:01,603843,正平股份：发起设立九信人寿  警惕次新炒作后的股价回落风险,"[机构解读]　　【看空】1、公司拟以自有资金15,000万元人民币参与发起设立九信人寿保险股份有限公司，预计占其总股本的15%。2、公司本次对外投资是在确保公司日常运营和资金安全的前提下实施的，不会对公司主营业务造成不利影响。此外，九信人寿尚处于设立阶段，预计短期内对公司财务状况和经营成果的影响较小。3、从股价看，经历了11月初的次新股炒作潮后，近期成交以及换手率出现了明显的萎缩，伴随着股价的同步回落调整，拐头向下的20天均线将对股价形成明显制约，注意回调风险。仅供参考，不作为投资依据。（广发证券唐人杰）",http://ggjd.cnstock.com/ggjd/download/2000645690.PDF
17,12-05 20:58,600021,上海电力：收购获批属利好 股价有望继续向上,[机构解读]　　【看多】1、近日，上海电力收到巴基斯坦竞争委员会通知，公司收购巴基斯坦K-ElectricLimited控股股权事宜已获得巴基斯坦竞争委员会批准。2、公司将继续积极推进本次重大资产购买事宜的相关工作。3、在该事件影响下，公司股价有望继续向上。仅供参考。（山东神光金融研究所）,http://ggjd.cnstock.com/ggjd/download/2000644967.PDF
18,12-05 20:53,600056,中国医药：获得药物临床试验批件 有助股价企稳反弹,[机构解读]　　【看多】1、近日，通用三洋收到国家食品药品监督管理总局核准签发的依折麦布胶囊《药物临床试验批件》批件。2、该类药物的研制开发，不仅能扩充并丰富公司的产品线，而且将会给公司带来较好的社会效益和经济效益。3、公司股价从2016年11月2日以来出现了一波下跌，本次事件是利好，有助于股价企稳反弹。仅供参考。（山东神光金融研究所）,http://ggjd.cnstock.com/ggjd/download/2000644969.PDF
19,12-05 20:51,000043,中航地产：出售公司房地产业务聚焦物业管理  短期增厚每股收益,"[机构解读]　　【看平】1、公司拟现金支付方式转让：（1）中航地产直接持有的成都航逸科技100.00%股权、成都航逸置业100.00%股权、江苏中航地产100.00%股权、九江中航地产100.00%股权、新疆中航投资100.00%股权、岳阳建桥投资100.00%股权、赣州中航置业79.17%股权；（2）中航地产全资子公司中航城投资直接持有的赣州中航地产100.00%股权；（3）中航地产全资子公司江西中航地产持有的南昌中航国际广场二期项目。拟出售资产的作价为202,963.07万元。2、通过本次交易，上市公司将出售房地产开发业务资产与负债，未来公司战略将聚焦物业资产管理业务，围绕机构类物业资产的管理，重点发展物业及设备设施管理、资产经营以及客户一体化服务外包三项核心业务。3、本次交易后公司最近一期的基本每股收益，较交易前有所上升。从股价走势看，股价跌破前期2个涨停后构筑的震荡了一个月左右的小平台，短期有小幅回落调整的风险。仅供参考，不作为投资依据。（广发证券唐人杰）　　【看多】1、通过本次交易，上市公司将出售房地产开发业务资产与负债，未来公司战略将聚焦物业资产管理业务。2、本次交易为出售公司房地产开发业务相关的资产与负债，不涉及公司的股权变动，因此本次交易不会导致公司股权结构发生变化。3、近一周股价走势偏弱，本次重大资产出售有助于股价反弹向上。仅供参考。（山东神光金融研究所）",http://ggjd.cnstock.com/ggjd/download/2000645123.PDF
20,12-05 20:47,000504,*ST生物：债务重组有助股价企稳,[机构解读]　　【看平】1、拟与赛迪新宇、赛迪新知和载德科技进行债务重组，债务重组涉及公司负债金额共计2795万元。2、本次债务重组目的在于梳理公司债权债务关系，优化公司资产负债结构，改善公司财务状况。预计产生债务重组收益1155万。3、近一周股价下跌，本次债务重组有助于公司股价止跌企稳。仅供参考。（山东神光金融研究所）,http://ggjd.cnstock.com/ggjd/download/2000644879.PDF
21,12-05 20:29,300283,温州宏丰：实际控制人减持600万股 股价短期承压,[机构解读]　　【看空】1、陈晓先生于2016年11月21日至2016年12月5日期间通过深圳证券交易所交易系统以大宗交易方式减持本公司无限售条件流通股600万股，占公司总股本的1.448%。2、本次减持计划完成后，陈晓先生仍为公司第一大股东，公司控股股东及实际控制人均不发生变化。3、上个交易日公司股价已经有反弹，本次属于负面消息，股价短期承压。仅供参考。（山东神光金融研究所）,http://ggjd.cnstock.com/ggjd/download/2000644889.PDF
22,12-05 20:26,300242,明家联合：股东减持 预计给股价带来短期压力,"[机构解读]　　【看空】1、甄勇先生于2016年12月5日通过大宗交易方式减持公司股份2,400,500股，占公司总股本的0.377%。2、本次甄勇先生减持后，甄勇先生及其一致行动人红日兴裕合计持有公司股份34,428,304股，占公司总股本的5.401%。3、当前股价已经站到多条均线上涨，本来有望继续向上，本次股东减持消息，预计给股价带来短期压力。仅供参考。（山东神光金融研究所）",http://ggjd.cnstock.com/ggjd/download/2000644891.PDF
23,12-05 20:18,000635,英力特：股权转让获国资委通过 有助股价上涨,"[机构解读]　　【看平】1、公司控股股东英力特集团拟转让其持有的上市公司全部股份，共计155,322,687股，占公司总股本的51.25%。2、受让上市公司股份的受让方须同时受让英力特煤业100%股权及相关债权。本次上市公司股份转让价格为19.52元/股。3、若公司控制权转让后，不排除新控股股东后续有优质资产注入上市公司，或是对上市公司进行重大资产重组的可能。中期看存在一定想象空间，短期对股价影响不大。仅供参考，不作为投资依据。（广发证券唐人杰）　　【看多】1、2016年12月5日消息，国务院国有资产监督管理委员会同意英力特集团转让持有的英力特化工全部股份。2、本次股份转让价格不低于19.52元/股。上个交易日收盘价20.86元/股。3、上个交易日公司股价再度走强，本次公告属于利好消息，有助于股价继续向上。仅供参考。（山东神光金融研究所）",http://ggjd.cnstock.com/ggjd/download/2000644885.PDF
24,12-05 20:09,000806,银河生物：牵手四川大学涉足干细胞 有助股价向上突破,[机构解读]　　【看多】1、合同内容为双方按照《药品注册管理办法》生物制品分类1.3的技术要求合作开发具有知识产权的干细胞治疗药物。2、公司子公司通过与其合作，可实现优势互补、资源共享，有助于公司获得领先的干细胞研发技术，确立公司在干细胞药物研发领域的研发优势。3、近一周股价小幅波动，本次牵手四川大学布局干细胞，有助于股价向上突破。仅供参考。（山东神光金融研究所）,http://ggjd.cnstock.com/ggjd/download/2000645076.PDF
25,12-05 20:00,000043,中航地产：重大资产出售有助股价反弹,"[机构解读]　　【看平】1、公司拟现金支付方式转让：（1）中航地产直接持有的成都航逸科技100.00%股权、成都航逸置业100.00%股权、江苏中航地产100.00%股权、九江中航地产100.00%股权、新疆中航投资100.00%股权、岳阳建桥投资100.00%股权、赣州中航置业79.17%股权；（2）中航地产全资子公司中航城投资直接持有的赣州中航地产100.00%股权；（3）中航地产全资子公司江西中航地产持有的南昌中航国际广场二期项目。拟出售资产的作价为202,963.07万元。2、通过本次交易，上市公司将出售房地产开发业务资产与负债，未来公司战略将聚焦物业资产管理业务，围绕机构类物业资产的管理，重点发展物业及设备设施管理、资产经营以及客户一体化服务外包三项核心业务。3、本次交易后公司最近一期的基本每股收益，较交易前有所上升。从股价走势看，股价跌破前期2个涨停后构筑的震荡了一个月左右的小平台，短期有小幅回落调整的风险。仅供参考，不作为投资依据。（广发证券唐人杰）　　【看多】1、通过本次交易，上市公司将出售房地产开发业务资产与负债，未来公司战略将聚焦物业资产管理业务。2、本次交易为出售公司房地产开发业务相关的资产与负债，不涉及公司的股权变动，因此本次交易不会导致公司股权结构发生变化。3、近一周股价走势偏弱，本次重大资产出售有助于股价反弹向上。仅供参考。（山东神光金融研究所）",http://ggjd.cnstock.com/ggjd/download/2000645123.PDF
26,12-05 19:53,300212,易华录：签订12亿元重大合同 复牌后股价有望跑赢大势,[机构解读]　　【看多】1、易华录与蓬莱市政府信息中心签订了《蓬莱市“智慧蓬莱”建设项目PPP项目合同》，项目总投资124262万元。2、该项目的成交，将对公司业绩将产生积极影响；有利于维护公司与当地政府的良好合作伙伴关系，夯实在山东区域的市场基础。3、公司股票继续停牌。本次公告属于利好，有助于公司股票复牌后跑赢大势。仅供参考。（山东神光金融研究所）,http://ggjd.cnstock.com/ggjd/download/2000645161.PDF
27,12-05 19:46,002740,爱迪尔：拟入股深钻所 股价有望继续反弹,[机构解读]　　【看多】1、公司与深钻所于2016年12月2日在深圳签订了《战略合作意向书》。公司拟以股权受让方式入股深圳市钻石毛坯交易中心有限公司。2、爱迪尔作为钻石行业领军企业，有意向投资入股深钻所，希望借助深钻所平台不断升级、优化公司钻石采购环节，为公司在深耕钻石领域的长远规划带来更强劲的成长动力。3、公司股价2016年11月18日以来又有一波调整，上个交易日股价有反弹的迹象，预计股价会继续反弹。仅供参考。（山东神光金融研究所）,http://ggjd.cnstock.com/ggjd/download/2000645159.PDF
28,12-05 19:25,002482,广田集团：牵手腾讯设立科技公司 股价或跑赢大势,"[机构解读]　　【看多】1、广田集团子公司投资成立腾讯过家家科技有限公司,广田集团子公司以自有资金出资500万元，占腾讯过家家50%的股权。2、本次对外投资是广田集团与腾讯在互联网家装业务的首次战略合作，借助广田集团线下施工资源，旨在做大做强深圳广田云万家互联网家装业务。3、公司股票继续停牌。本次公告属于利好，有助于公司股票复牌后跑赢大势。仅供参考。（山东神光金融研究所）",http://ggjd.cnstock.com/ggjd/download/2000645155.PDF
29,12-05 18:56,002562,兄弟科技:2016年度配股募资 提升公司在精细化工领域地位,"[机构解读]　　【看多】此次公告解读为利好。公司拟以实施本次配股方案的股权登记日收市后的股份总数为基数，按照每10股配售不超过3股的比例向全体股东配售。配售股份不足1股的，按深圳证券交易所、中国证券登记结算有限责任公司深圳分公司的有关规定处理。若以公司截至2016年9月30日总股本540,543,884股为基数测算，本次配售股份数量不超过162,163,165股。最终配售比例和配售数量由股东大会授权董事会在发行前根据市场情况与保荐机构（主承销商）协商确定。公司本次配股募集资金总额预计不超过人民币126,000万元，扣除发行费用后，将用于如下募投项目年产20,000吨苯二酚、31,100吨苯二酚衍生物建设项目。本次发行募集资金投资项目符合国家相关产业政策及未来公司整体战略发展方向，具有良好的市场发展前景，募投项目具备良好的盈利能力。本次发行有利于公司充分利用现有生产技术和销售渠道优势，进一步丰富和优化精细化工产品结构，巩固和提升公司在精细化工行业的市场地位。本次发行完成后，公司的资产规模将有较大幅度的增加，资产结构更加稳健。随着公司投资项目的陆续建成和投产，公司的盈利能力将进一步增强，公司整体的业绩水平将得到进一步提升。（盛世创富）",http://ggjd.cnstock.com/ggjd/download/2000644807.PDF
30,12-05 18:48,002506,协鑫集成:全资子公司签署战略合作协议  分布式光伏电站一体化更进一步,[机构解读]　　【看多】此次公告解读为利好。协鑫集成科技股份有限公司全资子公司协鑫集成（上海）能源科技发展有限公司于2016年12月5日与中国能源工程集团有限公司签订《战略合作框架协议》，双方依照国家的产业政策，从市场需求出发，利用各自优势，构建发挥协同效应的全面合作商务模式，就分布式光伏电站一体化服务等领域达成合作意向，具体合作内容由双方另行签署相关协议进行约定。公司致力于成为领先的综合能源系统集成服务商，紧抓分布式光伏发展机遇，规划于2017-2019年分布式综合能源系统集成业务累计达到5GW规模，实现多种分布式能源的高效利用。通过提供分布式光伏电站一体化服务，布局太阳能EPC业务，从而推动公司分布式光伏业务的发展。因此，本框架协议的签订有利于公司拓展分布式光伏业务，并促进公司组件、系统集成包等产品的销售，符合公司的发展需求和整体经营规划。预计本次与中国能源工程集团有限公司的合作事宜会对公司未来业绩形成积极的影响，有利于公司战略目标的实现。（盛世创富）,http://ggjd.cnstock.com/ggjd/download/2000644777.PDF
31,12-05 18:19,300362,天翔环境:与德阳市人民政府签订水务项目合作协议  影响积极利好股价,[机构解读]　　【看多】此次公告解读为利好。德阳市人民政府（与成都天翔环境股份有限公司（签订的《德阳市水务项目合作协议》。公司表示，本协议履行不影响公司业务的独立性，后续如签订正式合同并得到有效履行，将有助于公司环保业务拓展，提升公司竞争力和行业影响力，实现公司持续、稳定发展。对短线股价有一定支撑作用，利好股价。（盛世创富）,http://ggjd.cnstock.com/ggjd/download/2000644585.PDF
32,12-05 18:12,002354,天神娱乐:公司参与认购天神乾坤问道股权企业基金份额  影响积极,"[机构解读]　　【看多】此次公告解读为利好。大连天神娱乐股份有限公司拟认购西藏问道创业投资合伙企业（有限合伙）设立的宁波梅山保税港区天神乾坤问道股权投资合伙企业（有限合伙）基金份额，基金总规模约3.4亿元人民币，天神娱乐作为基金劣后级有限合伙人拟认购基金份额不超过5,100万元。该基金主要用于投资影视行业为主的文化娱乐公司。公司表示，此次公司参与投资并购基金，该基金将用于投资影视行业为主的文化娱乐公司，有利于公司在文化娱乐领域的产业布局，有助于拓展上市公司的业务范围，拓宽上市公司的盈利渠道，增强公司的投资能力，为公司未来发展储备更多的项目资源，控制投资风险。本次投资资金来源为自筹/自有资金，不涉及募集资金使用，短期内对生产经营没有实质影响，长期将有助于公司成功并购优质项目，加快公司发展步伐，将对公司长远发展产生积极影响。（盛世创富）",http://ggjd.cnstock.com/ggjd/download/2000644550.PDF
